snomed_code,description
241006,Epilepsia partialis continua
290006,Melnick-Fraser syndrome
354002,Malignant peripheral nerve sheath tumour with rhabdomyoblastic differentiation
359007,Kernicterus due to isoimmunisation
368009,Heart valve disorder
378007,Morquio syndrome
407000,Congenital hepatomegaly
511008,Fibrous meningioma
613003,Fragile X syndrome
626004,Hypercortisolism due to nonpituitary tumour
803009,Paraganglioma
835009,Angioimmunoblastic T-cell lymphoma
841002,Congenital absence of skull bone
900006,Mucin-producing adenocarcinoma
985004,Schwannoma
998008,Chagas' disease with heart involvement
999000,Mixed islet cell and exocrine adenocarcinoma
1287007,Congenital absence of bile duct
1338007,Basal cell carcinoma
1386000,Intracranial haemorrhage
1443001,Chromophobe carcinoma
1512006,Congenital stricture of bile duct
1513001,Melanotic neuroectodermal tumour
1534008,Palsy of conjugate gaze
1542009,Omphalocele with obstruction
1563006,Protein S deficiency disease
1586004,Subependymal giant cell astrocytoma
1593000,Infantile hemiplegia
1623000,Myxopapillary ependymoma
1694004,Accessory lobe of lung
1752006,Clear cell adenoma
1761006,Biliary cirrhosis
1779005,Mohr syndrome
1829003,Microcephalus
1856001,Accessory nose
1857005,Congenital rubella syndrome
1922008,Congenital absence of urethra
1926006,Osteopetrosis
1929004,"Malignant lymphoma, non-Hodgkin"
2026006,Serous adenofibroma
2109003,Isolated somatotropin deficiency
2221008,"Mesonephroma, malignant"
2227007,Adrenal cortical carcinoma
2348006,Adenomatoid tumour
2391001,Achondrogenesis
2438005,Iniencephaly
2495006,Congenital cerebral arteriovenous aneurysm
2557004,Chronic leukaemia
2584003,Cerebral degeneration in childhood
2593002,Dubowitz's syndrome
2710003,Fibrolipoma
2735009,Papillary cystadenocarcinoma
2829000,Uhl's disease
2884008,Weill-Marchesani syndrome
2897005,Immune thrombocytopenia
2962009,Adenofibroma
2985005,"Paget's disease, mammary"
2992000,Pigmentary pallidal degeneration
3072001,Hormone-induced hypopituitarism
3102004,"Oligodendroglioma, anaplastic"
3272007,Stomatocytosis
3545003,Diastolic dysfunction
3650004,Congenital absence of liver
3738000,Viral hepatitis
3815005,Crohn's disease of rectum
3833004,Odontogenic tumour
3839000,Lipid-rich carcinoma
3845008,Congenital duplication of intestine
3898006,"Neoplasm, benign"
3987009,Congenital absence of trachea
4079000,Mucoepidermoid carcinoma
4195003,Congenital duplication of anus
4223005,Parkinsonism due to drug
4230004,Pacinian tumour
4305004,Metastatic signet ring cell carcinoma
4320005,Factor V deficiency
4325000,11q partial monosomy syndrome
4374004,Congenital anomaly of tricuspid valve
4463009,"Familial amyloid polyneuropathy, type II"
4553004,Subependymal glioma
4584002,Scirrhous adenocarcinoma
4590003,"Adenocarcinoma, metastatic"
4602007,Robin sequence
4631006,Tubular adenocarcinoma
4711003,Congenital anomaly of bile ducts
4797003,Papillary adenocarcinoma
4854004,Acquired haemolytic anaemia
4896000,Acute toxic hepatitis
4935000,Adenocarcinoma in situ in villous adenoma
4945003,Microgyria
4950009,Sezary syndrome
4973001,Left bundle branch hemiblock
4977000,Eccrine spiradenoma
4996001,Hypophosphataemia
5014008,"Leydig cell tumour, benign"
5052009,Merkel cell carcinoma
5102002,Agenesis of corpus callosum
5127009,Jaw-winking syndrome
5153001,Ectopic anus
5178002,"Synovioma, benign"
5187006,Prune belly syndrome
5217008,Stiff-person syndrome
5230009,Congenital absence of coronary artery
5244003,Intraductal papilloma
5257006,Follicular adenocarcinoma
5262007,Spinal muscular atrophy
5300004,Haemoglobin Bart's hydrops syndrome
5432003,Transposition of appendix
5565008,Congenital diverticulum of trachea
5600009,Schneiderian carcinoma
5601008,Klippel-Feil sequence
5619004,Bardet-Biedl syndrome
5658009,Adenocarcinoma in tubulovillous adenoma
5688000,Squamous cell carcinoma in situ with questionable stromal invasion
5843004,Basaloid carcinoma
5919001,Rupture of papillary muscle
5958006,"Small cell carcinoma, intermediate cell"
6118003,Demyelinating disease of central nervous system
6204001,Juvenile myoclonic epilepsy
6210001,Cardiac ventricular dilatation
6219000,"Neoplasm, malignant, uncertain whether primary or metastatic"
6250003,Fibromyxosarcoma
6296006,Congenital dilatation of trachea
6374002,Bundle branch block
6379007,Multiple adenomatous polyps
6381009,Heavy chain disease
6437002,Ameloblastic fibrodentinoma
6475002,"Primary degenerative dementia of the Alzheimer type, presenile onset, uncomplicated"
6477005,Malrotation of colon
6479008,Partial albinism
6492006,Klatskin's tumour
6641007,Metatypical carcinoma
6669004,Cystathioninaemia
6807001,Central pontine myelinolysis
6842002,Desmoplastic fibroma
7010000,Carcinomatosis
7033004,Absence status epilepticus
7265005,"Glycogen storage disease, type I"
7300000,Lymphoepithelial carcinoma
7305005,Coarctation of aorta
7379000,Pseudobulbar palsy
7429002,Glomangioma
7438000,Congenital atresia of aorta
7481002,Congenital atresia of epiglottis
7538002,Drug-induced intrahepatic cholestasis
7573000,Classical phenylketonuria
7601009,Double urinary meatus
7603007,Platyspondylia
7611002,Septo-optic dysplasia sequence
7620006,Crohn's disease of large bowel
8032007,Congenital anomaly of thyroid cartilage
8097004,Alveolar adenoma
8145008,"Mixed tumour, malignant"
8186001,Cardiomegaly
8241005,Haemolymphangioma
8301004,Caudal regression syndrome
8360001,Pleomorphic adenoma
8587003,Congenital diverticulum of colon
8649001,Congenital anomaly of thoracic cage
8664001,Fibromyxoma
8722008,Aortic valve disorder
8900005,Hypoproteinaemia
8933000,"Crigler-Najjar syndrome, type I"
8934006,Papillary syringadenoma
8986002,Transposition of colon
9001003,Chondroblastoma
9111008,Glucoglycinuria
9133005,"Familial amyloid polyneuropathy, Iowa type"
9147009,Osteopoikilosis
9155002,Squamous odontogenic tumour
9266000,Juxtacortical chondroma
9294008,Spermatocytic seminoma
9311003,Hermansky-Pudlak syndrome
9360008,Hyperammonaemia
9395006,Sarcomatosis
9436005,Basophil adenoma
9527009,Tetrasomy 12p syndrome
9618003,Epithelial-myoepithelial carcinoma
9651007,Long QT syndrome
9660004,Congenital stenosis of trachea
9671003,Elastofibroma
9707006,Intestinal volvulus
9740002,Macroencephaly
9801004,Spindle cell sarcoma
9903002,"Paraganglioma, malignant"
9904008,Congenital anomaly of cardiovascular system
10041001,Tracheal stenosis following tracheostomy
10060008,Eccrine papillary adenoma
10069009,"Giant cell tumour of bone, malignant"
10288008,"Squamous cell carcinoma, spindle cell"
10376009,Papillary carcinoma in situ
10394003,Friedreich ataxia
10406007,Lesch-Nyhan syndrome
10438002,Glomus tumour
10451007,Double aortic arch
10633002,Acute congestive heart failure
10639003,Plasmacytoma
10649000,Hyperpituitarism
10705005,Mucinous adenofibroma
10741005,Lipid storage disease
10818008,Congenital malposition of heart
10930001,Congenital atresia of pulmonary artery
11063000,Ameloblastic fibroma
11073003,Mixed liposarcoma
11179002,"Glycogen storage disease, type IV"
11197005,Hydromyelia
11266002,Upper oesophageal web
11282001,Homocystinuria
11380006,Mucopolysaccharidosis
11399002,Pulmonary arterial hypertension
11467009,Capillary lymphangioma
11506001,Hilus cell tumour
11538006,Quadriplegia
11671000,Adenoid cystic carcinoma
11793003,Mesoblastic nephroma
11851006,Mitral valve disorder
11862006,Drug-induced myelopathy
12060004,Ganglioneuromatosis
12070002,Congenital stenosis of larynx
12169001,Granular cell tumour
12205003,Chief cell adenoma
12252009,Congenital absence of sternum
12302002,Small cell osteosarcoma
12323008,"Androblastoma, malignant"
12354007,"Retinoblastoma, undifferentiated"
12368000,Secondary biliary cirrhosis
12400006,Papillary transitional cell carcinoma
12478003,"Squamous cell carcinoma, microinvasive"
12579009,Familial Mediterranean fever
12622007,Clear cell sarcoma (except of Kidney M-89643)
12690005,Fibroblastic osteosarcoma
12897005,Congenital stricture of ureteropelvic junction
12933008,Sweat gland tumour
12943006,Polar spongioblastoma
13025001,Pseudopolyposis of colon
13071008,Mesonephric tumour
13092008,Pick's disease
13213009,Congenital heart disease
13236000,Congenital spondylolisthesis
13238004,"Granular cell tumour, malignant"
13306007,Pipecolic acidaemia
13530005,Congenital lobulation of kidney
13583002,Mast cell sarcoma
13630003,Congenital absence of lobe of liver
13644009,Hypercholesterolaemia
13649004,Brachycephaly
13671009,Congenital stricture of urethra
13806003,Congenital anomaly of urethra
13867009,Preductal coarctation of aorta
13875003,Glomangiosarcoma
13886001,Sickle cell nephropathy
13973009,Grand mal status
14210003,Lipofuscinosis
14269005,Embryonal rhabdomyosarcoma
14289006,Myopathy in hypopituitarism
14317002,Acute erythroid leukaemia
14430002,Congenital stenosis of small intestine
14447001,Dandy-Walker syndrome
14494009,Meningeal sarcomatosis
14537002,Hodgkin lymphoma
14637005,Late-infantile neuronal ceroid lipofuscinosis
14799000,"Neoplasm, metastatic"
14886009,Abdominal heart
14900002,Hypopituitarism due to radiotherapy
14921002,Aarskog syndrome
14990007,"Chondrosarcoma, no ICD-O subtype"
15069006,Russell-Silver syndrome
15096009,Congenital insufficiency of pulmonary valve
15160007,Virilisation
15176003,Adenocarcinoma with squamous metaplasia
15182000,Coffin-Lowry syndrome
15241006,Disorder of autonomic nervous system
15244003,Neuroleptic malignant syndrome
15276008,Drug-induced enzyme deficiency anaemia
15346004,Familial hypoalphalipoproteinaemia
15459006,Endocardial cushion defect
15539009,Hydrops fetalis due to isoimmunisation
15582005,Congenital absence of lobe of lung
15619004,"Hepatocellular carcinoma, fibrolamellar"
15674004,Serous surface papillary carcinoma
15702005,"Fibrous mesothelioma, benign"
15771004,Diabetes insipidus
15788006,Congenital cleft thyroid cartilage
15802004,Dystonia
15843004,Congenital absence of vertebra
15890002,Albinism
15949004,"Thymoma, malignant"
15999000,Mixed micro and macronodular cirrhosis
16026008,Congenital cerebellar hypoplasia
16090008,Myxoid leiomyosarcoma
16107003,Adult rhabdomyoma
16171003,Double athetosis
16189002,Gastrinoma
16297002,Congenital hydronephrosis
16360009,Delta beta thalassaemia
16376000,Congenital duodenal stenosis
16507009,Ectopic kidney
16567006,Mesocardia
16573007,Senile cardiac amyloidosis
16576004,Shy-Drager syndrome
16652001,Fabry's disease
16741004,Pleomorphic carcinoma
16784003,Amino acid transport disorder
16797001,Accelerated atrioventricular conduction
16851005,Mitochondrial myopathy
16893006,"Hodgkin lymphoma, lymphocyte depletion, diffuse fibrosis"
16972009,Congenital aneurysm of aorta
17024001,Aortopulmonary window
