concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row
1036651000000102,Musculoskeletal Health Questionnaire total score,Musculoskeletal Health Questionnaire total score (observable entity),0-56,,0,2020-07-01,1.6.10,271
1053941000000101,Ages and Stages Questionnaires:Social-Emotional second edition 2 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 2 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,118
1053951000000103,Ages and Stages Questionnaires:Social-Emotional second edition 6 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 6 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,119
1053971000000107,Ages and Stages Questionnaires:Social-Emotional second edition 12 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 12 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,120
1053991000000106,Ages and Stages Questionnaires:Social-Emotional second edition 18 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 18 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,121
1054011000000104,Ages and Stages Questionnaires:Social-Emotional second edition 24 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 24 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,122
1054021000000105,Ages and Stages Questionnaires:Social-Emotional second edition 30 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 30 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,123
1054031000000107,Ages and Stages Questionnaires:Social-Emotional second edition 36 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 36 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,124
1054041000000103,Ages and Stages Questionnaires:Social-Emotional second edition 48 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 48 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,125
1054051000000100,Ages and Stages Questionnaires:Social-Emotional second edition 60 month questionnaire score,Ages and Stages Questionnaires:Social-Emotional second edition 60 month questionnaire score,0 - 465,,0,2017-10-01,1.6.10,126
1092801000000106,Palliative care phase measure phase,Palliative care phase measure phase (observable entity),1,Stable,0,2020-07-01,1.6.10,351
1092801000000106,Palliative care phase measure phase,Palliative care phase measure phase (observable entity),2,Unstable,0,2020-07-01,1.6.10,352
1092801000000106,Palliative care phase measure phase,Palliative care phase measure phase (observable entity),3,Deteriorating,0,2020-07-01,1.6.10,353
1092801000000106,Palliative care phase measure phase,Palliative care phase measure phase (observable entity),4,Dying,0,2020-07-01,1.6.10,354
1092801000000106,Palliative care phase measure phase,Palliative care phase measure phase (observable entity),5,Deceased,0,2020-07-01,1.6.10,355
1099711000000106,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day (observable entity),0,Very severe,0,2020-07-01,1.6.10,272
1099711000000106,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day (observable entity),1,Fairly severe,0,2020-07-01,1.6.10,273
1099711000000106,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day (observable entity),2,Moderately,0,2020-07-01,1.6.10,274
1099711000000106,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day (observable entity),3,Slightly,0,2020-07-01,1.6.10,275
1099711000000106,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day,Musculoskeletal Health Questionnaire item 1 score - pain/stiffness during the day (observable entity),4,Not at all,0,2020-07-01,1.6.10,276
1099721000000100,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night (observable entity),0,Very severe,0,2020-07-01,1.6.10,277
1099721000000100,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night (observable entity),1,Fairly severe,0,2020-07-01,1.6.10,278
1099721000000100,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night (observable entity),2,Moderately,0,2020-07-01,1.6.10,279
1099721000000100,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night (observable entity),3,Slightly,0,2020-07-01,1.6.10,280
1099721000000100,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night,Musculoskeletal Health Questionnaire item 2 score - pain/stiffness during the night (observable entity),4,Not at all,0,2020-07-01,1.6.10,281
1099731000000103,Musculoskeletal Health Questionnaire item 3 score - walking,Musculoskeletal Health Questionnaire item 3 score - walking (observable entity),0,Unable to walk,0,2020-07-01,1.6.10,282
1099731000000103,Musculoskeletal Health Questionnaire item 3 score - walking,Musculoskeletal Health Questionnaire item 3 score - walking (observable entity),1,Severely,0,2020-07-01,1.6.10,283
1099731000000103,Musculoskeletal Health Questionnaire item 3 score - walking,Musculoskeletal Health Questionnaire item 3 score - walking (observable entity),2,Moderately,0,2020-07-01,1.6.10,284
1099731000000103,Musculoskeletal Health Questionnaire item 3 score - walking,Musculoskeletal Health Questionnaire item 3 score - walking (observable entity),3,Slightly,0,2020-07-01,1.6.10,285
1099731000000103,Musculoskeletal Health Questionnaire item 3 score - walking,Musculoskeletal Health Questionnaire item 3 score - walking (observable entity),4,Not at all,0,2020-07-01,1.6.10,286
1099741000000107,Musculoskeletal Health Questionnaire item 4 score - washing/dressing,Musculoskeletal Health Questionnaire item 4 score - washing/dressing (observable entity),0,Unable to wash or dress myself,0,2020-07-01,1.6.10,287
1099741000000107,Musculoskeletal Health Questionnaire item 4 score - washing/dressing,Musculoskeletal Health Questionnaire item 4 score - washing/dressing (observable entity),1,Severely,0,2020-07-01,1.6.10,288
1099741000000107,Musculoskeletal Health Questionnaire item 4 score - washing/dressing,Musculoskeletal Health Questionnaire item 4 score - washing/dressing (observable entity),2,Moderately,0,2020-07-01,1.6.10,289
1099741000000107,Musculoskeletal Health Questionnaire item 4 score - washing/dressing,Musculoskeletal Health Questionnaire item 4 score - washing/dressing (observable entity),3,Slightly,0,2020-07-01,1.6.10,290
1099741000000107,Musculoskeletal Health Questionnaire item 4 score - washing/dressing,Musculoskeletal Health Questionnaire item 4 score - washing/dressing (observable entity),4,Not at all,0,2020-07-01,1.6.10,291
1099751000000105,Musculoskeletal Health Questionnaire item 5 score - physical activity levels,Musculoskeletal Health Questionnaire item 5 score - physical activity levels (observable entity),0,Unable to do physical activities,0,2020-07-01,1.6.10,292
1099751000000105,Musculoskeletal Health Questionnaire item 5 score - physical activity levels,Musculoskeletal Health Questionnaire item 5 score - physical activity levels (observable entity),1,Very much,0,2020-07-01,1.6.10,293
1099751000000105,Musculoskeletal Health Questionnaire item 5 score - physical activity levels,Musculoskeletal Health Questionnaire item 5 score - physical activity levels (observable entity),2,Moderately,0,2020-07-01,1.6.10,294
1099751000000105,Musculoskeletal Health Questionnaire item 5 score - physical activity levels,Musculoskeletal Health Questionnaire item 5 score - physical activity levels (observable entity),3,Slightly,0,2020-07-01,1.6.10,295
1099751000000105,Musculoskeletal Health Questionnaire item 5 score - physical activity levels,Musculoskeletal Health Questionnaire item 5 score - physical activity levels (observable entity),4,Not at all,0,2020-07-01,1.6.10,296
1099761000000108,Musculoskeletal Health Questionnaire item 6 score - work/daily routine,Musculoskeletal Health Questionnaire item 6 score - work/daily routine (observable entity),0,Extremely,0,2020-07-01,1.6.10,297
1099761000000108,Musculoskeletal Health Questionnaire item 6 score - work/daily routine,Musculoskeletal Health Questionnaire item 6 score - work/daily routine (observable entity),1,Severely,0,2020-07-01,1.6.10,298
1099761000000108,Musculoskeletal Health Questionnaire item 6 score - work/daily routine,Musculoskeletal Health Questionnaire item 6 score - work/daily routine (observable entity),2,Moderately,0,2020-07-01,1.6.10,299
1099761000000108,Musculoskeletal Health Questionnaire item 6 score - work/daily routine,Musculoskeletal Health Questionnaire item 6 score - work/daily routine (observable entity),3,Slightly,0,2020-07-01,1.6.10,300
1099761000000108,Musculoskeletal Health Questionnaire item 6 score - work/daily routine,Musculoskeletal Health Questionnaire item 6 score - work/daily routine (observable entity),4,Not at all,0,2020-07-01,1.6.10,301
1099771000000101,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies (observable entity),0,Extremely,0,2020-07-01,1.6.10,302
1099771000000101,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies (observable entity),1,Severely,0,2020-07-01,1.6.10,303
1099771000000101,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies (observable entity),2,Moderately,0,2020-07-01,1.6.10,304
1099771000000101,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies (observable entity),3,Slightly,0,2020-07-01,1.6.10,305
1099771000000101,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies,Musculoskeletal Health Questionnaire item 7 score - social activities and hobbies (observable entity),4,Not at all,0,2020-07-01,1.6.10,306
1099781000000104,Musculoskeletal Health Questionnaire item 8 score - needing help,Musculoskeletal Health Questionnaire item 8 score - needing help (observable entity),0,All the time,0,2020-07-01,1.6.10,307
1099781000000104,Musculoskeletal Health Questionnaire item 8 score - needing help,Musculoskeletal Health Questionnaire item 8 score - needing help (observable entity),1,Frequently,0,2020-07-01,1.6.10,308
1099781000000104,Musculoskeletal Health Questionnaire item 8 score - needing help,Musculoskeletal Health Questionnaire item 8 score - needing help (observable entity),2,Sometimes,0,2020-07-01,1.6.10,309
1099781000000104,Musculoskeletal Health Questionnaire item 8 score - needing help,Musculoskeletal Health Questionnaire item 8 score - needing help (observable entity),3,Rarely,0,2020-07-01,1.6.10,310
1099781000000104,Musculoskeletal Health Questionnaire item 8 score - needing help,Musculoskeletal Health Questionnaire item 8 score - needing help (observable entity),4,Not at all,0,2020-07-01,1.6.10,311
1099791000000102,Musculoskeletal Health Questionnaire item 9 score - sleep,Musculoskeletal Health Questionnaire item 9 score - sleep (observable entity),0,Every night,0,2020-07-01,1.6.10,312
1099791000000102,Musculoskeletal Health Questionnaire item 9 score - sleep,Musculoskeletal Health Questionnaire item 9 score - sleep (observable entity),1,Frequently,0,2020-07-01,1.6.10,313
1099791000000102,Musculoskeletal Health Questionnaire item 9 score - sleep,Musculoskeletal Health Questionnaire item 9 score - sleep (observable entity),2,Sometimes,0,2020-07-01,1.6.10,314
1099791000000102,Musculoskeletal Health Questionnaire item 9 score - sleep,Musculoskeletal Health Questionnaire item 9 score - sleep (observable entity),3,Rarely,0,2020-07-01,1.6.10,315
