action_code,event_type
1407,advice_requested
1408,advice_response_received
1409,advice_conversation_closed
1410,advice_request_cancelled
1412,appointment_booking
1414,appointment_cancelled
1417,appointment_rebooked
1420,referral_accepted
1421,referral_cancelled
1422,referral_created
1424,referral_rejected
1426,assessment_completed
1428,assessment_recorded
1430,referral_deferred
1431,appointment_dna_resolved
1432,appointment_dna_recorded
1433,appointment_dna_updated
1435,appointment_cancelled
1447,onward_referral_created
1533,referral_accepted
1608,triage_requested
1770,triage_outcome_recorded
1810,triage_outcome_recorded
1836,triage_outcome_recorded
