concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row,is_non_score_response
1065441000000103,Patient Health Questionnaire-15 (PHQ-15),Patient Health Questionnaire 15 score,0-30,,0,2017-03-01,2.0.26,43,false
1065441000000103,Patient Health Questionnaire-15 (PHQ-15),Patient Health Questionnaire 15 score,0-30,,0,2017-03-01,2.1.22,45,false
1077511000000101,Chalder Fatigue Scale (CFQ 11),Chalder Fatigue Scale Score,0-33,,0,2021-04-01,2.1.22,12,false
1083671000000108,Irritable Bowel Syndrome - Symptom Severity Scale score (IBS-SSS),Irritable Bowel Syndrome - Symptom Severity Scale score,0-500,,0,2017-03-01,2.0.26,37,false
1083671000000108,Irritable Bowel Syndrome - Symptom Severity Scale score (IBS-SSS),Irritable Bowel Syndrome - Symptom Severity Scale score,0-500,,0,2017-03-01,2.1.22,39,false
1128221000000100,Body Image Questionnaire (BIQ),BIQ (Body Image Questionnaire) score,0-72,,0,2020-09-01,2.0.26,10,false
1128221000000100,Body Image Questionnaire (BIQ),BIQ (Body Image Questionnaire) score,0-72,,0,2020-09-01,2.1.22,10,false
443223005,Brief Pain Inventory (BPI),Brief pain inventory score,0-70,,0,2017-03-01,2.0.26,11,false
443223005,Brief Pain Inventory (BPI),Brief pain inventory score,0-70,,0,2017-03-01,2.1.22,11,false
445455005,Generalised Anxiety Disorder 7 (GAD-7),Generalised anxiety disorder 7 item score,0-21,,0,2012-04-01,2.0.26,14,false
445455005,Generalised Anxiety Disorder 7 (GAD-7),Generalised anxiety disorder 7 item score,0-21,,0,2012-04-01,2.1.22,15,false
445552006,Social Phobia Inventory (SPIN),Social phobia inventory score,0-68,,0,2012-04-01,2.0.26,46,false
445552006,Social Phobia Inventory (SPIN),Social phobia inventory score,0-68,,0,2012-04-01,2.1.22,48,false
446517006,Penn State Worry Questionnaire (PSWQ),Penn State worry questionnaire score,16-80,,0,2012-04-01,2.0.26,44,false
446517006,Penn State Worry Questionnaire (PSWQ),Penn State worry questionnaire score,16-80,,0,2012-04-01,2.1.22,46,false
446660005,COPD Assessment Test (CAT),Chronic obstructive pulmonary disease assessment test score,0-40,,0,2017-03-01,2.0.26,12,false
446660005,COPD Assessment Test (CAT),Chronic obstructive pulmonary disease assessment test score,0-40,,0,2017-03-01,2.1.22,13,false
446793008,Health Anxiety Inventory (HAI) - Week,Health anxiety inventory short week score,0-54,,0,2012-04-01,2.0.26,15,false
446793008,Health Anxiety Inventory (HAI) - Week,Health anxiety inventory short week score,0-54,,0,2012-04-01,2.1.22,16,false
450324005,Obsessive Compulsive Inventory (OCI),Obsessive compulsive inventory score,0-168,,0,2012-04-01,2.0.26,40,false
450324005,Obsessive Compulsive Inventory (OCI),Obsessive compulsive inventory score,0-168,,0,2012-04-01,2.1.22,42,false
450326007,Panic Disorder Severity Scale (PDSS),Panic disorder severity scale score,0-28,,0,2012-04-01,2.0.26,41,false
450326007,Panic Disorder Severity Scale (PDSS),Panic disorder severity scale score,0-28,,0,2012-04-01,2.1.22,43,false
473354003,Mobility Inventory (MI) for Agoraphobia,Mobility inventory for agoraphobia when accompanied score,1.00 - 5.00,,2,2012-04-01,2.0.26,38,false
473354003,Mobility Inventory (MI) for Agoraphobia,Mobility inventory for agoraphobia when accompanied score,1.00 - 5.00,,2,2012-04-01,2.1.22,40,false
473355002,Mobility Inventory (MI) for Agoraphobia,Mobility inventory for agoraphobia when alone score,1.00 - 5.00,,2,2012-04-01,2.0.26,39,false
473355002,Mobility Inventory (MI) for Agoraphobia,Mobility inventory for agoraphobia when alone score,1.00 - 5.00,,2,2012-04-01,2.1.22,41,false
