snomed_code,snomed_preferred_term,therapy_type_category,legacy_therapy_type_code,legacy_therapy_type_description,source_row
748051000000105,Guided self-help using book,Low Intensity,20,Guided Self Help (Book),14
748101000000105,Non-guided self-help using book,Low Intensity,21,Non-guided Self Help (Book or print),15
748041000000107,Guided self-help using computer,Low Intensity,22,Guided Self Help (Computer),16
748091000000102,Non-guided self-help using computer,Low Intensity,23,Non-Guided Self Help (Computer),17
748061000000108,Structured physical activity programme,Low Intensity,25,Structured Physical Activity,18
702545008,Psychoeducation,Low Intensity,27,Psychoeducational peer support,19
1026111000000108,Improving Access to Psychological Therapies low intensity therapy,Low Intensity,28,Other Low Intensity,20
975131000000104,Signposting,Low Intensity,,Community Sign-posting,21
1127281000000100,Applied relaxation,High Intensity,40,Applied relaxation,22
1129471000000105,Couple therapy for depression,High Intensity,42,Couples Therapy for Depression,23
842901000000108,Multidisciplinary case management,High Intensity,43,Collaborative care (for people with depression and a chronic physical health condition),24
286711000000107,Counselling for depression,High Intensity,44,Counselling for Depression,25
314034001,Psychodynamic psychotherapy,High Intensity,45,Brief psychodynamic psychotherapy,26
449030000,Eye movement desensitization and reprocessing therapy,High Intensity,46,Eye Movement Desensitisation Reprocessing,27
933221000000107,Mindfulness-based therapy,High Intensity,47,Mindfulness,28
1026131000000100,Improving Access to Psychological Therapies high intensity therapy,High Intensity,48,Other High Intensity (not specified above),29
304891004,Cognitive - behavior therapy,High Intensity,50,Cognitive Behaviour Therapy (CBT),30
443730003,Interpersonal psychotherapy,High Intensity,51,Interpersonal Psycho therapy (IPT),31
1098051000000103,Employment support,Employment Support,,Employment Support,32
