concept_code,assessment_tool_name,assessment_description,published_value,response_description,decimal_places,collection_start_date,specification_version,source_row
1034351000000101,Goal Bases Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 1 score,0-10,,0,2016-04-01,4.1,413
1034351000000101,Goal Based Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 1 score,0-10,,0,2016-04-01,5.0,413
1034351000000101,Goal Based Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 1 score,0-10,,0,2016-04-01,6.0.7.1,456
1034361000000103,Goal Bases Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 2 score,0-10,,0,2016-04-01,4.1,414
1034361000000103,Goal Based Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 2 score,0-10,,0,2016-04-01,5.0,414
1034361000000103,Goal Based Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 2 score,0-10,,0,2016-04-01,6.0.7.1,457
1034371000000105,Goal Bases Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 3 score,0-10,,0,2016-04-01,4.1,415
1034371000000105,Goal Based Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 3 score,0-10,,0,2016-04-01,5.0,415
1034371000000105,Goal Based Outcomes (GBO),Goal Progress Chart - Child/Young Person - goal 3 score,0-10,,0,2016-04-01,6.0.7.1,458
1035441000000106,Questionnaire about the Process of Recovery (QPR),Questionnaire about the Process of Recovery total score,0-60,,0,2016-04-01,4.1,1079
1035441000000106,Questionnaire about the Process of Recovery (QPR),Questionnaire about the Process of Recovery total score,0-60,,0,2016-04-01,5.0,1082
1035441000000106,Questionnaire about the Process of Recovery (QPR),QPR (Questionnaire about the Process of Recovery) total score,0-60,,0,2016-04-01,6.0.7.1,1253
1035681000000101,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,1,Not True,0,2016-04-01,4.1,18
1035681000000101,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,1,Not True,0,2016-04-01,5.0,18
1035681000000101,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,1,Not True,0,2016-04-01,6.0.7.1,309
1035681000000101,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,2,Partly true,0,2016-04-01,4.1,19
1035681000000101,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,2,Partly true,0,2016-04-01,5.0,19
1035681000000101,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,2,Partly true,0,2016-04-01,6.0.7.1,310
1035681000000101,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,3,Certainly true,0,2016-04-01,4.1,20
1035681000000101,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,3,Certainly true,0,2016-04-01,5.0,20
1035681000000101,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,3,Certainly true,0,2016-04-01,6.0.7.1,311
1035681000000101,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,999,Don't know/Missing,0,2016-04-01,4.1,21
1035681000000101,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,999,Don't know/Missing,0,2016-04-01,5.0,21
1035681000000101,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 1 score - I feel that the people who have seen my child listened to me,999,Don't know/Missing,0,2016-04-01,6.0.7.1,312
1035711000000102,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,1,Not True,0,2016-04-01,4.1,22
1035711000000102,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,1,Not True,0,2016-04-01,5.0,22
1035711000000102,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,1,Not True,0,2016-04-01,6.0.7.1,325
1035711000000102,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,2,Partly true,0,2016-04-01,4.1,23
1035711000000102,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,2,Partly true,0,2016-04-01,5.0,23
1035711000000102,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,2,Partly true,0,2016-04-01,6.0.7.1,326
1035711000000102,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,3,Certainly true,0,2016-04-01,4.1,24
1035711000000102,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,3,Certainly true,0,2016-04-01,5.0,24
1035711000000102,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,3,Certainly true,0,2016-04-01,6.0.7.1,327
1035711000000102,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,999,Don't know/Missing,0,2016-04-01,4.1,25
1035711000000102,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,999,Don't know/Missing,0,2016-04-01,5.0,25
1035711000000102,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 2 score - it was easy to talk to the people who have seen my child,999,Don't know/Missing,0,2016-04-01,6.0.7.1,328
1035721000000108,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 3 score - I was treated well by the people who have seen my child,1,Not True,0,2016-04-01,4.1,26
1035721000000108,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 3 score - I was treated well by the people who have seen my child,1,Not True,0,2016-04-01,5.0,26
1035721000000108,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 3 score - I was treated well by the people who have seen my child,1,Not True,0,2016-04-01,6.0.7.1,329
1035721000000108,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 3 score - I was treated well by the people who have seen my child,2,Partly true,0,2016-04-01,4.1,27
1035721000000108,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 3 score - I was treated well by the people who have seen my child,2,Partly true,0,2016-04-01,5.0,27
1035721000000108,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 3 score - I was treated well by the people who have seen my child,2,Partly true,0,2016-04-01,6.0.7.1,330
1035721000000108,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 3 score - I was treated well by the people who have seen my child,3,Certainly true,0,2016-04-01,4.1,28
1035721000000108,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 3 score - I was treated well by the people who have seen my child,3,Certainly true,0,2016-04-01,5.0,28
1035721000000108,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 3 score - I was treated well by the people who have seen my child,3,Certainly true,0,2016-04-01,6.0.7.1,331
1035721000000108,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 3 score - I was treated well by the people who have seen my child,999,Don't know/Missing,0,2016-04-01,4.1,29
1035721000000108,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 3 score - I was treated well by the people who have seen my child,999,Don't know/Missing,0,2016-04-01,5.0,29
1035721000000108,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 3 score - I was treated well by the people who have seen my child,999,Don't know/Missing,0,2016-04-01,6.0.7.1,332
1035731000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 4 score - my views and worries were taken seriously,1,Not True,0,2016-04-01,4.1,30
1035731000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 4 score - my views and worries were taken seriously,1,Not True,0,2016-04-01,5.0,30
1035731000000105,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 4 score - my views and worries were taken seriously,1,Not True,0,2016-04-01,6.0.7.1,333
1035731000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 4 score - my views and worries were taken seriously,2,Partly true,0,2016-04-01,4.1,31
1035731000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 4 score - my views and worries were taken seriously,2,Partly true,0,2016-04-01,5.0,31
1035731000000105,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 4 score - my views and worries were taken seriously,2,Partly true,0,2016-04-01,6.0.7.1,334
1035731000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 4 score - my views and worries were taken seriously,3,Certainly true,0,2016-04-01,4.1,32
1035731000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 4 score - my views and worries were taken seriously,3,Certainly true,0,2016-04-01,5.0,32
1035731000000105,Experience of Service Questionnaire (ESQ),Experience of Service Questionnaire (ESQ) Parent or Carer item 4 score - my views and worries were taken seriously,3,Certainly true,0,2016-04-01,6.0.7.1,335
1035731000000105,Commission for Health Improvement Experience of Service Questionnaire (CHI-ESQ),Commission for Health Improvement Experience of Service Questionnaire Parent or Carer item 4 score - my views and worries were taken seriously,999,Don't know/Missing,0,2016-04-01,4.1,33
