nhsd_legal_status,legal_status_definition,is_detained
01,Informal,false
02,Formally detained under Mental Health Act Section 2,true
03,Formally detained under Mental Health Act Section 3,true
04,Formally detained under Mental Health Act Section 4,true
05,Formally detained under Mental Health Act Section 5 (2),true
06,Formally detained under Mental Health Act Section 5 (4),true
07,Formally detained under Mental Health Act Section 35,true
08,Formally detained under Mental Health Act Section 36,true
09,Formally detained under Mental Health Act Section 37 with section 41 restrictions,true
10,Formally detained under Mental Health Act Section 37,true
12,Formally detained under Mental Health Act Section 38,true
13,Formally detained under Mental Health Act Section 44,true
14,Formally detained under Mental Health Act Section 46,true
15,Formally detained under Mental Health Act Section 47 with section 49 restrictions,true
16,Formally detained under Mental Health Act Section 47,true
17,Formally detained under Mental Health Act Section 48 with section 49 restrictions,true
18,Formally detained under Mental Health Act Section 48,true
19,Formally detained under Mental Health Act Section 135,true
20,Formally detained under Mental Health Act Section 136,true
31,Formally detained under Criminal Procedure (Insanity) Act 1964 as amended by the Criminal Procedures (Insanity and Unfitness to Plead) Act 1991,true
32,Formally detained under other acts,true
35,Subject to guardianship under Mental Health Act Section 7,false
36,Subject to guardianship under Mental Health Act Section 37,false
37,Formally detained under Mental Health Act Section 45A (Limited direction in force),true
38,Formally detained under Mental Health Act Section 45A (Limitation direction ended),true
98,Not Applicable,false
99,Not Known,false
