occupation_code,occupation_code_name,main_staff_group,broad_staff_group,detailed_staff_group,occupation_level,care_setting_or_specialty,is_currently_valid
001,HCHS doctors in General (internal) medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,General (internal) medicine,True
002,HCHS doctors in Paediatrics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Paediatrics,True
003,HCHS doctors in Infectious diseases,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Infectious diseases,True
004,HCHS doctors in Respiratory medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Respiratory medicine,True
005,HCHS doctors in Dermatology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Dermatology,True
006,HCHS doctors in Neurology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Neurology,True
007,HCHS doctors in Cardiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Cardiology,True
008,HCHS doctors in Rheumatology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Rheumatology,True
009,HCHS doctors in Genito-urinary medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Genito-urinary medicine,True
010,HCHS doctors in Clinical pharmacology and therapeutics,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical pharmacology and therapeutics,True
011,HCHS doctors in Geriatric medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Geriatric medicine,True
012,HCHS doctors in Medical oncology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Medical oncology,True
013,HCHS doctors in Clinical physiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical physiology,False
014,HCHS doctors in Clinical neurophysiology,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Clinical neurophysiology,True
015,HCHS doctors in Renal medicine,Professionally qualified clinical staff,HCHS doctors,HCHS doctors,HCHS doctors,Renal medicine,True
