treatment_function_code,treatment_function_name
142,Paediatric Dentistry
171,Paediatric Surgery
211,Paediatric Urology Service
212,Paediatric Transplantation Surgery Service
213,Paediatric Gastrointestinal Surgery Service
214,Paediatric Trauma and Orthopaedic Service
215,Paediatric Ear Nose and Throat Service
216,Paediatric Ophthalmology Service
217,Paediatric Oral and Maxillofacial Surgery Service
218,Paediatric Neurosurgery Service
219,Paediatric Plastic Surgery Service
220,Paediatric Burns Care Service
221,Paediatric Cardiac Surgery Service
222,Paediatric Thoracic Surgery Service
223,Paediatric Epilepsy Service
230,Paediatric Clinical Pharmacology Service
240,Paediatric Palliative Medicine Service
241,Paediatric Pain Management Service
242,Paediatric Intensive Care Service
250,Paediatric Hepatology Service
251,Paediatric Gastroenterology Service
252,Paediatric Endocrinology Service
253,Paediatric Clinical Haematology Service
254,Paediatric Audio Vestibular Medicine Service
255,Paediatric Clinical Immunology and Allergy Service
256,Paediatric Infectious Diseases Service
257,Paediatric Dermatology Service
258,Paediatric Respiratory Medicine Service
259,Paediatric Nephrology Service
260,Paediatric Medical Oncology Service
261,Paediatric Inherited Metabolic Medicine Service
262,Paediatric Rheumatology Service
263,Paediatric Diabetes Service
264,Paediatric Cystic Fibrosis Service
270,Paediatric Emergency Medicine Service
280,Paediatric Interventional Radiology Service
290,Community Paediatric Service
291,Paediatric Neurodisability Service
321,Paediatric Cardiology
420,Paediatrics
421,Paediatric Neurology
422,Neonatal Critical Care Service
