ccg,provider,z_financial_year
07P,NT4,1314
07P,NT4,1415
07P,NT4,1516
07P,NT4,1617
07P,NT4,1718
07P,NV1,1314
07P,NV1,1415
07P,NV1,1516
07P,NV1,1617
07P,NV1,1718
07P,R1K,1516
07P,R1K,1617
07P,R1K,1718
07P,RAL,1314
07P,RAL,1415
07P,RAL,1516
07P,RAL,1617
07P,RAL,1718
07P,RAN,1314
07P,RAN,1415
07P,RAN,1516
07P,RAN,1617
07P,RAN,1718
07P,RAP,1314
07P,RAP,1415
07P,RAP,1516
07P,RAP,1617
07P,RAP,1718
07P,RAS,1314
07P,RAS,1415
07P,RAS,1516
07P,RAS,1617
07P,RAS,1718
07P,RAX,1314
07P,RAX,1415
07P,RAX,1516
07P,RAX,1617
07P,RAX,1718
07P,RC3,1314
07P,RC3,1415
07P,RFW,1314
07P,RFW,1415
07P,RFW,1516
07P,RFW,1617
07P,RJ1,1314
07P,RJ1,1415
07P,RJ1,1516
07P,RJ1,1617
07P,RJ1,1718
07P,RJ7,1314
07P,RJ7,1415
07P,RJ7,1516
07P,RJ7,1617
07P,RJ7,1718
07P,RJZ,1314
07P,RJZ,1415
07P,RJZ,1516
07P,RJZ,1617
07P,RJZ,1718
07P,RKE,1314
07P,RKE,1415
07P,RKE,1516
07P,RKE,1617
07P,RKE,1718
07P,RNJ,1314
07P,RNJ,1415
07P,RNJ,1516
07P,RNJ,1617
07P,RP4,1314
07P,RP4,1415
07P,RP4,1516
07P,RP4,1617
07P,RP4,1718
07P,RP6,1314
07P,RP6,1415
07P,RP6,1516
07P,RP6,1617
07P,RP6,1718
07P,RPY,1314
07P,RPY,1415
07P,RPY,1516
07P,RPY,1617
07P,RPY,1718
07P,RQM,1314
07P,RQM,1415
07P,RQM,1516
07P,RQM,1617
07P,RQM,1718
07P,RQX,1314
07P,RQX,1415
07P,RQX,1516
07P,RQX,1617
07P,RQX,1718
07P,RRV,1314
07P,RRV,1415
07P,RRV,1516
07P,RRV,1617
07P,RRV,1718
07P,RT3,1314
07P,RT3,1415
07P,RT3,1516
07P,RT3,1617
07P,RT3,1718
07P,RV8,1314
07P,RV8,1415
07P,RVL,1314
07P,RVL,1415
07P,RVL,1516
07P,RWG,1314
07P,RWG,1415
07P,RWG,1516
07P,RWG,1617
07P,RWG,1718
07P,RWH,1314
07P,RWH,1415
07P,RWH,1516
07P,RWH,1617
07P,RWH,1718
07P,RYJ,1314
