snomed_code,snomed_term,status,category
417298001,Abnormal craving for drugs (finding),QUALIFYING,Current misuse or dependence
105549004,Abuses volatile solvents (finding),QUALIFYING,Current misuse or dependence
296302007,Accidental cannabis overdose (disorder),QUALIFYING,Current misuse or dependence
291246000,Accidental cannabis poisoning (disorder),QUALIFYING,Current misuse or dependence
290543000,Accidental cocaine poisoning (disorder),QUALIFYING,Current misuse or dependence
291258000,Accidental ecstasy poisoning (disorder),QUALIFYING,Current misuse or dependence
295175007,Accidental heroin overdose (disorder),QUALIFYING,Current misuse or dependence
290181001,Accidental heroin poisoning (disorder),QUALIFYING,Current misuse or dependence
295567006,Accidental local cocaine overdose (disorder),QUALIFYING,Current misuse or dependence
296314004,Accidental mescaline overdose (disorder),QUALIFYING,Current misuse or dependence
291255002,Accidental mescaline poisoning (disorder),QUALIFYING,Current misuse or dependence
296322006,Accidental overdose by cocaine (disorder),QUALIFYING,Current misuse or dependence
296326009,Accidental overdose by crack cocaine (disorder),QUALIFYING,Current misuse or dependence
296306005,Accidental overdose by lysergic acid (disorder),QUALIFYING,Current misuse or dependence
1149240000,Accidental overdose by lysergic acid diethylamide (disorder),QUALIFYING,Current misuse or dependence
242257009,Accidental overdose of ecstasy (disorder),QUALIFYING,Current misuse or dependence
838520000,Accidental overdose of methylenedioxymethamphetamine (disorder),QUALIFYING,Current misuse or dependence
216552005,"Accidental poisoning by lysergide, LSD (disorder)",QUALIFYING,Current misuse or dependence
216551003,Accidental poisoning caused by cannabis derivatives (disorder),QUALIFYING,Current misuse or dependence
216583009,Accidental poisoning caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
291261004,Accidental poisoning caused by crack cocaine (disorder),QUALIFYING,Current misuse or dependence
216463005,Accidental poisoning caused by heroin (disorder),QUALIFYING,Current misuse or dependence
216554006,Accidental poisoning caused by mescaline (disorder),QUALIFYING,Current misuse or dependence
216469009,Accidental poisoning caused by opium (disorder),QUALIFYING,Current misuse or dependence
296310008,Accidental psilocybin overdose (disorder),QUALIFYING,Current misuse or dependence
231482005,Active drug dependence (disorder),QUALIFYING,Current misuse or dependence
228413007,Age at starting drug misuse (observable entity),QUALIFYING,Current misuse or dependence
424461008,Altered behavior due to substance use (finding),QUALIFYING,Current misuse or dependence
1230072003,"Amfetamine and/or amfetamine derivative abuse, continuous (disorder)",QUALIFYING,Current misuse or dependence
838527002,Amfetamine and/or amfetamine derivative dependence (disorder),QUALIFYING,Current misuse or dependence
1231328003,Amfetamine and/or amfetamine derivative dependence continuous (disorder),QUALIFYING,Current misuse or dependence
1231327008,Amfetamine and/or amfetamine derivative dependence episodic (disorder),QUALIFYING,Current misuse or dependence
1157240004,Amfetamine and/or amfetamine derivative intoxication (disorder),QUALIFYING,Current misuse or dependence
1237202006,Amfetamine and/or amfetamine derivative withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
43497001,Amfetamine-induced mood disorder (disorder),QUALIFYING,Current misuse or dependence
788863007,Amnestic disorder caused by psychoactive substance (disorder),QUALIFYING,Current misuse or dependence
442229000,Amount of money spent per day on drug habit (observable entity),QUALIFYING,Current misuse or dependence
84758004,Amphetamine abuse (disorder),QUALIFYING,Current misuse or dependence
427205009,"Amphetamine abuse, continuous (disorder)",QUALIFYING,Current misuse or dependence
429692000,"Amphetamine abuse, episodic (disorder)",QUALIFYING,Current misuse or dependence
32358001,Amphetamine delusional disorder (disorder),QUALIFYING,Current misuse or dependence
21647008,Amphetamine dependence (disorder),QUALIFYING,Current misuse or dependence
45421006,Amphetamine intoxication (disorder),QUALIFYING,Current misuse or dependence
428659002,Amphetamine misuse (finding),QUALIFYING,Current misuse or dependence
191843004,"Amphetamine or psychostimulant dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
191844005,"Amphetamine or psychostimulant dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
78358001,Amphetamine withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
51443000,Amphetamine-induced psychotic disorder with hallucinations (disorder),QUALIFYING,Current misuse or dependence
25753007,Amphetamine-induced sleep disorder (disorder),QUALIFYING,Current misuse or dependence
429179002,Antidepressant misuse (finding),QUALIFYING,Current misuse or dependence
82339009,Anxiety disorder caused by amfetamine (disorder),QUALIFYING,Current misuse or dependence
51493001,Anxiety disorder caused by cocaine (disorder),QUALIFYING,Current misuse or dependence
724722007,Anxiety disorder caused by dissociative drug (disorder),QUALIFYING,Current misuse or dependence
724723002,Anxiety disorder caused by ketamine (disorder),QUALIFYING,Current misuse or dependence
12398201000119102,Anxiety disorder caused by methamphetamine (disorder),QUALIFYING,Current misuse or dependence
724708007,Anxiety disorder caused by methylenedioxymethamphetamine (disorder),QUALIFYING,Current misuse or dependence
55967005,Anxiety disorder caused by phencyclidine (disorder),QUALIFYING,Current misuse or dependence
762331007,Anxiety disorder caused by stimulant (disorder),QUALIFYING,Current misuse or dependence
737341006,Anxiety disorder caused by synthetic cannabinoid (disorder),QUALIFYING,Current misuse or dependence
762515000,Anxiety disorder caused by synthetic cathinone (disorder),QUALIFYING,Current misuse or dependence
231470001,Anxiolytic dependence (disorder),QUALIFYING,Current misuse or dependence
724659004,Anxiolytic dependence with current use (disorder),QUALIFYING,Current misuse or dependence
1231163004,"Anxiolytic dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
1231161002,"Anxiolytic dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
231472009,Barbiturate dependence (disorder),QUALIFYING,Current misuse or dependence
428623008,Barbiturate misuse (finding),QUALIFYING,Current misuse or dependence
231473004,Benzodiazepine dependence (disorder),QUALIFYING,Current misuse or dependence
428406005,Benzodiazepine misuse (finding),QUALIFYING,Current misuse or dependence
1237200003,Buprenorphine and/or naloxone withdrawal syndrome (disorder),QUALIFYING,Current misuse or dependence
703845008,Buprenorphine dependence (disorder),QUALIFYING,Current misuse or dependence
228443009,Buying drugs (finding),QUALIFYING,Current misuse or dependence
63649001,Cannabis delusional disorder (disorder),QUALIFYING,Current misuse or dependence
85005007,Cannabis dependence (disorder),QUALIFYING,Current misuse or dependence
723933008,Cannabis dependence with current use (disorder),QUALIFYING,Current misuse or dependence
191837001,"Cannabis dependence, continuous (disorder)",QUALIFYING,Current misuse or dependence
191838006,"Cannabis dependence, episodic (disorder)",QUALIFYING,Current misuse or dependence
11048011000119103,Cannabis hyperemesis syndrome co-occurrent and due to cannabis dependence (disorder),QUALIFYING,Current misuse or dependence
