site_code,department_type,uec_site_label,provider_code,icb_footprint,effective_from,effective_to,note
RQM25,03,UTC_CW,RQM,NWL,2021-07-01,2022-09-30,Chelsea and Westminster UTC; dept 01 at this site is the emergency department
AD915,03,UTC_EHT,AD9,NWL,2021-04-01,2022-12-31,Ealing Hospital UTC (Totally)
R1K14,03,UTC_EHT,R1K,NWL,2023-01-25,2023-08-18,Ealing Hospital UTC (trust site code)
R1K04,03,UTC_EHT,R1K,NWL,2023-08-18,,Ealing Hospital UTC coded against the hospital site
AD904,03,UTC_THH,AD9,NWL,2019-01-01,2023-01-25,Hillingdon Hospital UTC (Totally)
RAS01,03,UTC_THH,RAS,NWL,2023-01-26,,Hillingdon Hospital UTC coded against the hospital site
AD906,03,UTC_NP,AD9,NWL,2019-01-01,2023-01-25,Northwick Park Hospital UTC (Totally)
R1K11,03,UTC_NP,R1K,NWL,2023-01-26,2023-08-18,Northwick Park Hospital UTC (trust site code)
R1K01,03,UTC_NP,R1K,NWL,2023-08-18,,Northwick Park Hospital UTC coded against the hospital site
NLO21,03,UTC_SMH,NLO,NWL,2019-03-31,2023-10-18,St Mary's UTC (Totally)
RYJ01,03,UTC_SMH_Streamed,RYJ,NWL,2023-01-01,,St Mary's UTC streamed from the emergency department
AD918,03,UTC_CMX,AD9,NWL,2019-01-01,2023-01-25,Central Middlesex Hospital UTC (Totally)
R1K12,03,UTC_CMX,R1K,NWL,2023-01-26,2023-08-17,Central Middlesex Hospital UTC (trust site code)
R1K02,03,UTC_CMX,R1K,NWL,2023-08-18,,Central Middlesex Hospital UTC coded against the hospital site
RY901,03,UTC_WMX,RY9,NWL,2018-09-01,2023-09-28,West Middlesex UTC submitted by HRCH
J4X8V,03,UTC_WMX,RQM,NWL,2023-09-28,,West Middlesex University Hospital UTC
RYJ02,03,UTC_CX,RYJ,NWL,2023-01-01,,Charing Cross Hospital UTC
RYJ03,03,UTC_HH,RYJ,NWL,2024-05-07,,Hammersmith Hospital UTC
RAS02,03,MIU_MV,RAS,NWL,2018-04-05,,Mount Vernon Hospital minor injuries unit
RYX11,03,WIC_PGREEN,RYX,NWL,2018-09-01,2020-12-31,Parsons Green walk-in centre (submitted as dept 03)
RYX11,04,WIC_PGREEN,RYX,NWL,2021-09-13,,Parsons Green walk-in centre
RYX02,03,WIC_SOHO,RYX,NWL,2018-09-01,2021-03-18,Soho walk-in centre (submitted as dept 03)
RYX02,04,WIC_SOHO,RYX,NWL,2021-11-27,,Soho walk-in centre
RYX01,03,WIC_STCHARLES,RYX,NWL,2018-09-01,2020-12-24,St Charles urgent care centre (submitted as dept 03)
RYX01,04,WIC_STCHARLES,RYX,NWL,2021-09-13,,St Charles urgent care centre
RYX23,03,WIC_FINCH,RYX,NCL,2018-09-01,2021-03-31,Finchley Memorial Hospital walk-in centre (submitted as dept 03)
RYX23,04,WIC_FINCH,RYX,NCL,2021-04-01,,Finchley Memorial Hospital walk-in centre
RYX24,03,WIC_EDG,RYX,NCL,2018-09-01,2020-03-26,Edgware Community Hospital walk-in centre (submitted as dept 03)
RYX24,04,WIC_EDG,RYX,NCL,2021-10-01,,Edgware Community Hospital walk-in centre
RAL01,03,UTC_RFH,RAL,NCL,2023-04-01,,Royal Free Hospital UTC
RAL26,03,UTC_BH,RAL,NCL,2023-04-01,,Barnet Hospital UTC
RALC7,03,UTC_CFH,RAL,NCL,2019-01-01,,Chase Farm Hospital UTC
RAPNM,03,UTC_NMUH,RAP,NCL,2018-04-01,2024-12-31,North Middlesex Hospital UTC before the Royal Free merger
RAL27,03,UTC_NMUH,RAL,NCL,2025-01-01,,North Middlesex Hospital UTC after the Royal Free merger
RKEQ4,03,UTC_WH,RKE,NCL,2021-11-01,,Whittington Hospital UTC
